environment,checkpoint_stage,mode,seed,return,ggr_success,episode_length
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260803,-1290.0162775942895,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260804,-656.9212411125764,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260805,-216.91795656697138,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260806,-407.8408333879887,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260807,-881.4747842359961,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260808,-634.1772668008276,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260809,-402.61586799105606,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260810,-1795.901166876221,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260811,-256.60859144788105,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260812,-374.82033913966205,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260813,-404.62096400993227,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260814,-69.78978291887971,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260815,-435.6580064858477,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260816,-649.3175631412615,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260817,-523.2155324158758,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260818,-915.27330251091,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260819,-1540.2998437194026,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260820,-473.3499898586709,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260821,-633.017816196031,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260822,-206.82149451633035,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260823,-962.4469625160449,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260824,-1351.1076581575176,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260825,-792.28506702435,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260826,-323.21485736555735,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260827,-1335.2374077871837,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260828,-1424.9574319236972,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260829,-2248.614575623339,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260830,-498.5830501592474,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260831,-851.8600411942354,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260832,-447.9198181176276,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260833,-484.4691644130886,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260834,-453.6597100048861,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260835,-254.85528849747166,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260836,-401.8675108902721,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260837,-3147.5001910639317,False,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260838,-430.73765520972546,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260839,-5180.395869373403,False,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260840,-1363.721619254444,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260841,-63.28200314119806,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260842,-1558.023299351829,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260843,-1983.3439042003317,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260844,-1525.0663977372049,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260845,-223.26784268050088,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260846,-5003.021990077091,False,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260847,-710.0372431749969,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260848,-1294.634466348819,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260849,-594.2212487667622,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260850,-1563.551156417441,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260851,-269.4382234242921,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260852,-455.74227204174946,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260853,-836.5297485840043,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260854,-1641.4980003574972,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260855,-489.3394513828004,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260856,-1670.2271445928002,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260857,-652.579454503169,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260858,-1176.6751973651549,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260859,-1409.6153593760362,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260860,-622.9064628789259,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260861,-258.4047905380893,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260862,-1182.4261442462655,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260863,-1979.498177233225,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260864,-419.36974450936225,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260865,-529.0213227769163,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260866,-411.4942005361231,True,1000
